Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit
ORD-100112,27-09-2023,29-09-2023,Customer 430,Corporate,South,Technology,Copiers,HP Copier,599.95,1,0.2,44.73
ORD-100113,25-01-2022,28-01-2022,Customer 37,Home Office,South,Office Supplies,Storage,Storage Box,631,10,0.1,54.31
ORD-100114,02-05-2023,05-05-2023,Customer 11,Corporate,West,Office Supplies,Storage,File Cabinet,1098.22,1,0.3,146.99
ORD-100115,15-12-2023,20-12-2023,Customer 648,Consumer,South,Furniture,Chairs,Classic Desk Chair,582.63,4,0.2,123.33
ORD-100116,21-03-2023,26-03-2023,Customer 364,Consumer,South,Furniture,Tables,Wooden Desk,1172.09,9,0.2,186.71
ORD-100117,13-01-2022,16-01-2022,Customer 720,Corporate,North,Technology,Accessories,Wireless Mouse,1932.62,3,0.2,104.37
ORD-100118,02-02-2022,04-02-2022,Customer 120,Home Office,North,Furniture,Tables,Wooden Desk,121.32,9,0,35.93
ORD-100119,10-04-2023,14-04-2023,Customer 853,Home Office,South,Technology,Accessories,Wireless Mouse,392.75,1,0.2,92.64
ORD-100120,12-05-2023,14-05-2023,Customer 711,Consumer,North,Technology,Copiers,Canon All-in-One,1105.03,9,0.1,173.59
ORD-100121,22-03-2023,26-03-2023,Customer 139,Corporate,South,Furniture,Bookcases,Tall Bookcase,932.18,6,0,148.17
ORD-100122,19-11-2022,22-11-2022,Customer 485,Home Office,East,Office Supplies,Paper,Legal Pad,1041.38,8,0,135.69
ORD-100123,18-12-2023,23-12-2023,Customer 63,Consumer,East,Technology,Phones,iPhone 14,617.84,3,0.1,163.36
ORD-100124,03-04-2022,08-04-2022,Customer 37,Home Office,South,Technology,Phones,iPhone 14,1957.66,9,0.1,355.06
ORD-100125,25-01-2023,29-01-2023,Customer 444,Consumer,East,Technology,Phones,iPhone 14,1014.94,5,0,101.71
ORD-100126,08-07-2023,09-07-2023,Customer 987,Home Office,West,Office Supplies,Binders,3-ring Binder,1733.83,5,0.2,354.43
ORD-100127,12-12-2023,16-12-2023,Customer 997,Corporate,North,Technology,Phones,Samsung Galaxy,556.19,2,0.3,46.86
ORD-100128,02-01-2023,03-01-2023,Customer 73,Home Office,South,Furniture,Bookcases,Wall Shelf,1034.93,1,0.1,67.21
ORD-100129,15-11-2023,16-11-2023,Customer 676,Consumer,East,Office Supplies,Paper,A4 Paper,1372.9,10,0.2,69.73
ORD-100130,15-01-2023,16-01-2023,Customer 691,Consumer,East,Technology,Accessories,Keyboard,1608.77,8,0.2,166.84
ORD-100131,06-11-2022,11-11-2022,Customer 997,Home Office,East,Office Supplies,Binders,2-inch Binder,85.03,1,0.2,10.33
ORD-100132,07-07-2023,08-07-2023,Customer 837,Consumer,West,Office Supplies,Binders,3-ring Binder,1761.57,6,0.1,311.17
ORD-100133,13-02-2023,18-02-2023,Customer 665,Corporate,East,Technology,Phones,iPhone 14,1906.47,8,0.3,266.46
ORD-100134,12-01-2023,13-01-2023,Customer 524,Home Office,North,Furniture,Tables,Wooden Desk,1911.48,5,0.2,247.9
ORD-100135,19-10-2023,24-10-2023,Customer 205,Home Office,West,Furniture,Chairs,ErgoChair Pro,312.16,1,0.1,36.92
ORD-100136,01-03-2023,02-03-2023,Customer 378,Home Office,West,Furniture,Chairs,ErgoChair Pro,1648.94,7,0.1,402.91
ORD-100137,28-10-2023,31-10-2023,Customer 184,Consumer,North,Furniture,Bookcases,Wall Shelf,69.62,6,0.3,7.45
ORD-100138,30-04-2023,04-05-2023,Customer 453,Corporate,West,Technology,Copiers,Canon All-in-One,1798.85,5,0.2,363.33
ORD-100139,28-09-2023,30-09-2023,Customer 94,Consumer,West,Office Supplies,Storage,Storage Box,1726.34,9,0,386.26
ORD-100140,12-03-2022,17-03-2022,Customer 246,Consumer,South,Office Supplies,Storage,File Cabinet,1675.39,6,0.2,156.57
ORD-100141,25-11-2023,28-11-2023,Customer 991,Corporate,East,Office Supplies,Paper,Legal Pad,1728.02,1,0.1,460.34
ORD-100142,15-04-2022,16-04-2022,Customer 47,Corporate,North,Technology,Phones,iPhone 14,1957.97,3,0,225.71
ORD-100143,21-06-2022,23-06-2022,Customer 113,Corporate,South,Furniture,Chairs,ErgoChair Pro,709.34,2,0.3,49.09
ORD-100144,24-01-2023,29-01-2023,Customer 997,Consumer,East,Technology,Phones,iPhone 14,823.74,5,0.1,174.19
ORD-100145,08-08-2022,13-08-2022,Customer 285,Consumer,West,Office Supplies,Paper,A4 Paper,461.97,1,0,102.66
ORD-100146,13-03-2023,15-03-2023,Customer 483,Corporate,West,Office Supplies,Binders,3-ring Binder,1757.31,8,0.2,368.67
ORD-100147,05-10-2023,07-10-2023,Customer 483,Consumer,East,Furniture,Bookcases,Tall Bookcase,1115.65,10,0.1,89.46
ORD-100148,06-08-2022,11-08-2022,Customer 149,Consumer,South,Furniture,Chairs,Classic Desk Chair,224.4,10,0.2,28.06
ORD-100149,17-02-2022,20-02-2022,Customer 26,Corporate,South,Office Supplies,Paper,Legal Pad,1102.06,5,0.2,189.16
ORD-100150,10-04-2023,11-04-2023,Customer 628,Home Office,East,Furniture,Chairs,ErgoChair Pro,1102.11,10,0.2,200.84
ORD-100151,03-05-2023,04-05-2023,Customer 700,Home Office,South,Office Supplies,Paper,Legal Pad,431.06,1,0.3,59.82
ORD-100152,16-05-2023,21-05-2023,Customer 558,Corporate,North,Technology,Copiers,HP Copier,1249.16,6,0.1,202.49
ORD-100153,04-09-2023,05-09-2023,Customer 959,Corporate,East,Furniture,Chairs,Classic Desk Chair,1859.65,2,0.3,212.01
ORD-100154,06-10-2022,11-10-2022,Customer 882,Home Office,South,Office Supplies,Storage,Storage Box,860.57,3,0.1,113.67
ORD-100155,03-07-2023,08-07-2023,Customer 859,Consumer,North,Furniture,Tables,Wooden Desk,453.14,3,0.1,67.51
ORD-100156,01-09-2023,06-09-2023,Customer 475,Home Office,South,Office Supplies,Paper,Legal Pad,407.25,5,0,53.35
ORD-100157,05-09-2023,08-09-2023,Customer 780,Consumer,East,Technology,Accessories,Keyboard,53.21,9,0,11.53
ORD-100158,26-10-2022,28-10-2022,Customer 540,Corporate,North,Furniture,Chairs,ErgoChair Pro,723.53,10,0,103.89
ORD-100159,29-12-2022,31-12-2022,Customer 794,Consumer,South,Furniture,Bookcases,Wall Shelf,1978.37,8,0.1,158.94
ORD-100160,06-12-2022,09-12-2022,Customer 8,Home Office,North,Office Supplies,Binders,2-inch Binder,523.94,1,0,112.33
ORD-100161,22-07-2022,25-07-2022,Customer 340,Home Office,North,Technology,Phones,Samsung Galaxy,1182.49,10,0.1,226.23
ORD-100162,15-06-2023,19-06-2023,Customer 218,Consumer,North,Technology,Phones,iPhone 14,1129.93,3,0.3,138.11
ORD-100163,17-04-2023,18-04-2023,Customer 275,Corporate,North,Furniture,Chairs,Classic Desk Chair,1415.4,7,0.1,93.26
ORD-100164,08-01-2022,12-01-2022,Customer 411,Corporate,South,Technology,Phones,Samsung Galaxy,254.72,3,0.2,49.21
ORD-100165,01-02-2023,04-02-2023,Customer 103,Consumer,East,Furniture,Chairs,ErgoChair Pro,1805.32,5,0,523.49
ORD-100166,21-01-2023,25-01-2023,Customer 65,Home Office,South,Technology,Copiers,HP Copier,1166.29,4,0.3,63.62
ORD-100167,13-09-2022,17-09-2022,Customer 82,Home Office,North,Furniture,Tables,Conference Table,612.95,7,0,70.58
ORD-100168,09-02-2022,10-02-2022,Customer 359,Corporate,South,Furniture,Bookcases,Tall Bookcase,989.32,3,0.1,196.43
ORD-100169,18-08-2023,22-08-2023,Customer 509,Home Office,West,Office Supplies,Binders,3-ring Binder,600.45,8,0,99.74
ORD-100170,30-05-2022,04-06-2022,Customer 176,Consumer,North,Technology,Accessories,Keyboard,1023.03,5,0.2,62.29
ORD-100171,20-08-2022,21-08-2022,Customer 551,Home Office,South,Furniture,Bookcases,Wall Shelf,1147.43,10,0.1,281.1
ORD-100172,05-07-2023,10-07-2023,Customer 437,Home Office,North,Technology,Copiers,Canon All-in-One,293.72,7,0.2,39.5
ORD-100173,08-11-2023,09-11-2023,Customer 919,Home Office,South,Office Supplies,Binders,3-ring Binder,817.02,2,0.1,41.49
ORD-100174,13-09-2022,14-09-2022,Customer 564,Consumer,East,Office Supplies,Paper,A4 Paper,13.91,6,0.3,2.85
ORD-100175,19-06-2023,21-06-2023,Customer 809,Consumer,West,Office Supplies,Storage,Storage Box,1235.77,10,0.3,223.44
ORD-100176,20-03-2023,22-03-2023,Customer 876,Consumer,East,Technology,Copiers,HP Copier,1159.79,9,0,317.63
ORD-100177,24-03-2023,29-03-2023,Customer 425,Consumer,North,Office Supplies,Paper,Legal Pad,384.25,10,0.2,49.17
ORD-100178,22-01-2023,26-01-2023,Customer 240,Home Office,North,Office Supplies,Binders,3-ring Binder,1476.05,3,0.3,166.22
ORD-100179,29-07-2022,01-08-2022,Customer 10,Home Office,West,Office Supplies,Storage,File Cabinet,919.46,9,0,172.97
ORD-100180,21-04-2023,23-04-2023,Customer 358,Consumer,South,Furniture,Bookcases,Wall Shelf,1420.15,9,0.3,116.84
ORD-100181,11-03-2023,15-03-2023,Customer 37,Corporate,West,Furniture,Tables,Conference Table,1875.2,4,0.1,252.63
ORD-100182,27-01-2023,29-01-2023,Customer 392,Home Office,East,Office Supplies,Paper,A4 Paper,239.89,1,0,41.49
ORD-100183,05-02-2022,06-02-2022,Customer 645,Home Office,East,Office Supplies,Paper,A4 Paper,1142.97,7,0.3,160.3
ORD-100184,23-03-2022,28-03-2022,Customer 938,Consumer,East,Technology,Copiers,HP Copier,787.96,2,0.1,203.72
ORD-100185,15-12-2022,19-12-2022,Customer 556,Corporate,East,Furniture,Chairs,Classic Desk Chair,1147.61,10,0.2,182.39
ORD-100186,25-11-2022,30-11-2022,Customer 99,Home Office,West,Office Supplies,Storage,File Cabinet,154.4,5,0,37.1
ORD-100187,12-11-2022,16-11-2022,Customer 366,Corporate,South,Furniture,Chairs,Classic Desk Chair,1538.96,6,0.2,119.88
ORD-100188,29-11-2023,02-12-2023,Customer 746,Corporate,East,Technology,Accessories,Keyboard,1667.06,6,0.3,292.4
ORD-100189,23-12-2023,27-12-2023,Customer 444,Corporate,East,Office Supplies,Binders,3-ring Binder,1247.79,10,0.3,180.77
ORD-100190,24-03-2023,25-03-2023,Customer 639,Consumer,South,Technology,Accessories,Keyboard,1939.81,10,0.3,393.7
ORD-100191,25-01-2023,30-01-2023,Customer 179,Home Office,West,Furniture,Chairs,Classic Desk Chair,78.05,2,0,23.38
ORD-100192,22-04-2023,24-04-2023,Customer 701,Home Office,East,Office Supplies,Storage,Storage Box,365.33,8,0.3,36.32
ORD-100193,12-09-2022,13-09-2022,Customer 69,Home Office,East,Office Supplies,Storage,Storage Box,70.23,4,0.1,6.77
ORD-100194,10-12-2023,15-12-2023,Customer 3,Consumer,West,Technology,Phones,iPhone 14,227.5,4,0,35.55
ORD-100195,27-07-2022,01-08-2022,Customer 703,Home Office,East,Office Supplies,Storage,File Cabinet,1215.56,1,0,237.43
ORD-100196,13-12-2023,15-12-2023,Customer 999,Corporate,South,Furniture,Tables,Conference Table,1802.23,4,0,124.88
ORD-100197,26-05-2023,27-05-2023,Customer 719,Home Office,South,Technology,Copiers,HP Copier,1287.33,8,0,243.42
ORD-100198,23-01-2023,28-01-2023,Customer 859,Home Office,North,Technology,Copiers,Canon All-in-One,1095.47,2,0,167.78
ORD-100199,18-08-2023,23-08-2023,Customer 915,Consumer,North,Office Supplies,Binders,2-inch Binder,1520.93,6,0,196.89
ORD-100200,15-08-2022,17-08-2022,Customer 748,Consumer,East,Technology,Phones,Samsung Galaxy,1061.37,3,0.3,153
ORD-100201,02-02-2022,03-02-2022,Customer 272,Consumer,North,Furniture,Bookcases,Tall Bookcase,1837.34,9,0.3,379.9
ORD-100202,08-01-2023,09-01-2023,Customer 448,Consumer,South,Furniture,Bookcases,Tall Bookcase,1948.94,1,0,238.25
ORD-100203,11-04-2022,16-04-2022,Customer 698,Corporate,North,Office Supplies,Storage,File Cabinet,887.21,4,0.3,130.11
ORD-100204,09-02-2023,10-02-2023,Customer 720,Corporate,East,Furniture,Tables,Conference Table,1741.23,1,0.2,321.69
ORD-100205,10-06-2023,12-06-2023,Customer 161,Home Office,West,Office Supplies,Paper,Legal Pad,309.7,7,0.2,21.38
ORD-100206,25-01-2023,30-01-2023,Customer 235,Corporate,North,Furniture,Chairs,Classic Desk Chair,214.2,9,0.3,36.57
ORD-100207,21-06-2022,26-06-2022,Customer 407,Consumer,West,Furniture,Bookcases,Tall Bookcase,826.05,10,0,242.73
ORD-100208,27-03-2022,01-04-2022,Customer 785,Corporate,West,Office Supplies,Paper,Legal Pad,456.48,7,0.2,87.4
ORD-100209,28-07-2023,01-08-2023,Customer 24,Consumer,North,Technology,Phones,Samsung Galaxy,1821.24,5,0,128.19
